cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
182,0,5535647836089,5535647836126,5535647836148,5535649363535,5535649363561,1305365,59,1305365,26,1305450,2112000000
190,0,5472233364625,5472233364896,5472233365006,5535678924097,5535678924108,0,381,63445559091,11,63445559483,2112000000
189,0,5472233365171,5472233365329,5472233366256,5535678957790,5535678957800,0,1085,63445591534,10,63445592629,2112000000
188,0,5472233366326,5472233366499,5472233367639,5535678966107,5535678966327,0,1313,63445598468,220,63445600001,2112000000
187,0,5472233367701,5472233367866,5472233369131,5535678973369,5535678973528,0,1430,63445604238,159,63445605827,2112000000
186,0,5472233369194,5472233369355,5472233370514,5535678980263,5535678980442,0,1320,63445609749,179,63445611248,2112000000
185,0,5472233370581,5472233370738,5472233371748,5535678987058,5535678987087,0,1167,63445615310,29,63445616506,2112000000
184,0,5472233371809,5472233371964,5472233373131,5535678993748,5535678993782,0,1322,63445620617,34,63445621973,2112000000
183,0,5472233373190,5472233373335,5472233374447,5535679000837,5535679000849,0,1257,63445626390,12,63445627659,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5536940592646,5536940596469,5536940598221,5536941942973,5536941943295,92873,5575,92873,322,98770,2112000000
191,0,5536943159172,5536943159316,5536943159404,5536949113211,5536949113305,401882,232,401882,94,402208,2112000000
191,0,5536949169714,5536949170138,5536949170177,5536949270582,5536949270674,7071,463,7071,92,7626,2112000000
191,0,5536949311724,5536949311920,5536949312036,5536949908969,5536949909073,40467,312,40467,104,40883,2112000000
